Country,2019,2018,2017,2016,2015
Afghanistan,4.3 [1.7-7.7],4.6 [2.1-7.8],4.9 [2.5-7.9],5.3 [3.2-8.1],5.9 [4.1-8.4]
Albania,2.0 [1.8-2.2],2.1 [1.9-2.3],2.2 [2.0-2.3],2.3 [2.1-2.4],2.3 [2.2-2.5]
Algeria,3.3 [3.2-3.5],3.4 [3.3-3.5],3.5 [3.4-3.5],3.5 [3.5-3.6],3.6 [3.5-3.7]
Andorra,0.8 [0.6-1.0],0.8 [0.7-1.1],0.9 [0.7-1.1],0.9 [0.7-1.1],0.9 [0.7-1.2]
Angola,16.5 [12.8-21.0],17.1 [13.3-21.8],17.7 [13.8-22.6],18.5 [14.4-23.5],19.3 [15.1-24.6]
Antigua and Barbuda,1.7 [1.3-2.1],1.7 [1.3-2.2],1.8 [1.4-2.2],1.8 [1.4-2.3],1.9 [1.5-2.4]
Argentina,1.8 [1.7-2.0],1.9 [1.9-2.0],2.0 [2.0-2.1],2.1 [2.1-2.2],2.2 [2.1-2.2]
Armenia,1.9 [1.7-2.2],2.0 [1.8-2.2],2.0 [1.8-2.2],2.0 [1.9-2.2],2.0 [1.9-2.2]
Australia,0.8 [0.7-0.8],0.8 [0.8-0.9],0.8 [0.8-0.9],0.9 [0.8-0.9],0.9 [0.9-0.9]
Austria,0.8 [0.7-0.9],0.8 [0.7-0.9],0.8 [0.7-0.9],0.8 [0.8-0.9],0.9 [0.8-0.9]
Azerbaijan,3.0 [2.8-3.3],3.1 [2.9-3.3],3.2 [3.0-3.3],3.2 [3.1-3.3],3.3 [3.1-3.4]
Bahamas,2.5 [1.9-3.3],2.6 [2.0-3.3],2.7 [2.1-3.3],2.7 [2.2-3.4],2.8 [2.3-3.4]
Bahrain,1.8 [1.3-2.5],1.8 [1.4-2.5],1.9 [1.5-2.5],1.9 [1.6-2.4],2.0 [1.7-2.4]
Bangladesh,6.9 [4.5-10.7],6.6 [4.8-9.0],6.3 [5.0-7.8],6.1 [5.2-7.1],6.1 [5.4-7.0]
Barbados,1.7 [1.1-2.6],1.8 [1.2-2.6],1.8 [1.3-2.6],1.9 [1.3-2.6],1.9 [1.4-2.6]
Belarus,1.2 [1.1-1.4],1.3 [1.2-1.4],1.4 [1.3-1.5],1.5 [1.4-1.6],1.6 [1.5-1.6]
Belgium,0.8 [0.7-0.9],0.8 [0.8-0.9],0.8 [0.8-0.9],0.9 [0.8-0.9],0.9 [0.9-0.9]
Belize,2.7 [2.2-3.3],2.8 [2.3-3.4],2.9 [2.4-3.4],3.0 [2.6-3.4],3.1 [2.7-3.5]
Benin,19.6 [15.5-25.1],20.2 [16.2-25.4],20.7 [16.8-25.7],21.3 [17.5-26.0],21.8 [18.2-26.4]
Bhutan,7.1 [4.3-11.4],7.3 [4.6-11.5],7.6 [4.9-11.5],7.8 [5.2-11.6],8.1 [5.5-11.8]
Bolivia (Plurinational State of),4.1 [2.6-6.5],4.2 [2.7-6.5],4.4 [2.9-6.6],4.5 [3.1-6.6],4.6 [3.3-6.7]
Bosnia and Herzegovina,1.2 [1.0-1.5],1.2 [1.0-1.4],1.2 [1.1-1.4],1.2 [1.1-1.4],1.2 [1.1-1.4]
Botswana,5.8 [3.6-9.3],6.0 [3.8-9.3],6.2 [4.1-9.4],6.4 [4.3-9.4],6.6 [4.6-9.4]
Brazil,2.4 [2.2-2.5],2.4 [2.3-2.5],2.5 [2.4-2.6],2.6 [2.5-2.6],2.6 [2.6-2.7]
Brunei Darussalam,2.4 [2.0-2.9],2.5 [2.1-2.9],2.5 [2.2-2.9],2.6 [2.2-2.9],2.6 [2.3-2.9]
Bulgaria,1.7 [1.5-1.9],1.7 [1.6-1.9],1.7 [1.6-1.9],1.8 [1.7-1.9],1.8 [1.7-2.0]
Burkina Faso,17.4 [9.3-30.0],18.0 [9.9-30.2],18.5 [10.5-30.2],19.1 [11.1-30.4],19.7 [11.8-30.5]
Burundi,21.3 [13.3-36.4],21.8 [14.3-35.0],22.2 [15.3-33.5],22.4 [16.3-31.6],22.5 [17.1-30.1]
Cabo Verde,1.9 [1.5-2.5],2.0 [1.6-2.6],2.1 [1.7-2.6],2.2 [1.8-2.7],2.3 [2.0-2.8]
Cambodia,4.8 [2.8-7.5],5.0 [3.0-7.6],5.2 [3.2-7.7],5.4 [3.4-7.9],5.7 [3.7-8.1]
Cameroon,22.6 [16.4-28.7],23.2 [17.2-28.9],23.6 [18.0-29.1],24.0 [18.9-29.2],24.4 [19.7-29.3]
Canada,0.9 [0.8-1.0],0.9 [0.9-1.0],1.0 [0.9-1.0],1.0 [1.0-1.1],1.1 [1.0-1.1]
Central African Republic,14.2 [7.2-28.9],14.5 [7.6-29.2],14.9 [8.0-29.2],15.3 [8.5-29.4],15.8 [9.0-29.5]
Chad,25.7 [18.4-36.2],26.4 [19.3-36.3],27.1 [20.3-36.5],27.8 [21.2-36.6],28.5 [22.0-36.7]
Chile,1.4 [1.2-1.6],1.4 [1.3-1.6],1.5 [1.4-1.6],1.5 [1.4-1.6],1.5 [1.4-1.6]
China,1.9 [1.3-2.8],1.9 [1.4-2.8],2.0 [1.5-2.8],2.1 [1.6-2.8],2.1 [1.7-2.8]
Colombia,2.5 [2.4-2.6],2.5 [2.4-2.5],2.5 [2.5-2.6],2.5 [2.5-2.6],2.6 [2.5-2.6]
Comoros,8.4 [4.7-15.7],8.7 [5.0-15.7],8.9 [5.3-15.7],9.2 [5.6-15.7],9.4 [5.9-15.8]
Congo,7.9 [4.9-12.7],8.2 [5.2-12.8],8.5 [5.5-12.9],8.8 [5.9-13.0],9.1 [6.3-13.2]
Cook Islands,2.0 [1.6-2.6],2.1 [1.6-2.7],2.2 [1.7-2.8],2.2 [1.7-2.8],2.3 [1.8-2.9]
Costa Rica,1.7 [1.6-1.8],1.7 [1.6-1.8],1.8 [1.7-1.9],1.8 [1.7-1.9],1.8 [1.8-1.9]
C̫te d'Ivoire,24.7 [17.2-38.1],25.1 [17.9-37.8],25.6 [18.6-37.4],25.8 [19.2-36.7],26.0 [19.7-35.8]
Croatia,1.1 [0.9-1.2],1.1 [0.9-1.2],1.1 [1.0-1.2],1.1 [1.0-1.2],1.1 [1.0-1.2]
Cuba,2.0 [1.9-2.1],2.0 [1.9-2.1],2.0 [1.9-2.1],2.0 [1.9-2.1],2.0 [1.9-2.1]
Cyprus,0.9 [0.7-1.1],0.9 [0.7-1.2],1.0 [0.8-1.2],1.0 [0.9-1.2],1.1 [0.9-1.3]
Czechia,0.9 [0.8-1.0],0.9 [0.8-0.9],0.9 [0.8-1.0],0.9 [0.9-1.0],0.9 [0.9-1.0]
Democratic People's Republic of Korea,3.9 [3.1-5.0],4.1 [3.2-5.2],4.2 [3.3-5.4],4.4 [3.4-5.6],4.6 [3.6-5.9]
Democratic Republic of the Congo,22.1 [16.7-29.3],22.6 [17.5-29.5],23.2 [18.3-29.7],23.7 [18.9-29.9],24.2 [19.6-30.1]
Denmark,0.6 [0.5-0.7],0.6 [0.5-0.7],0.6 [0.6-0.7],0.7 [0.6-0.7],0.7 [0.6-0.7]
Djibouti,12.8 [10.0-16.4],13.2 [10.3-16.9],13.6 [10.6-17.4],14.0 [10.9-17.9],14.5 [11.3-18.5]
Dominica,3.2 [2.0-5.2],3.3 [2.1-5.2],3.3 [2.1-5.2],3.4 [2.2-5.1],3.4 [2.3-5.0]
Dominican Republic,2.8 [1.7-4.9],2.9 [1.8-4.9],3.0 [1.9-4.9],3.1 [2.0-4.9],3.2 [2.2-4.9]
Ecuador,3.3 [2.0-5.6],3.4 [2.1-5.6],3.5 [2.2-5.6],3.6 [2.3-5.5],3.7 [2.5-5.5]
Egypt,4.3 [4.2-4.4],4.4 [4.3-4.5],4.5 [4.4-4.6],4.6 [4.5-4.7],4.7 [4.7-4.8]
El Salvador,3.2 [2.8-3.6],3.2 [2.9-3.5],3.2 [3.0-3.5],3.2 [3.0-3.4],3.2 [3.0-3.3]
Equatorial Guinea,16.2 [12.7-20.8],16.8 [13.1-21.5],17.4 [13.6-22.3],18.0 [14.1-23.1],18.6 [14.5-23.8]
Eritrea,7.5 [4.1-15.2],7.7 [4.3-15.3],8.0 [4.6-15.5],8.3 [4.8-15.5],8.6 [5.1-15.6]
Estonia,1.1 [0.9-1.3],1.2 [1.0-1.4],1.2 [1.1-1.4],1.3 [1.1-1.5],1.4 [1.2-1.5]
Eswatini,13.4 [6.9-25.5],13.8 [7.2-25.4],14.1 [7.6-25.2],14.3 [7.9-25.0],14.6 [8.3-24.8]
Ethiopia,10.7 [6.3-15.9],11.2 [6.8-16.2],11.7 [7.5-16.7],12.4 [8.2-17.3],13.3 [9.1-18.0]
Fiji,4.8 [4.0-5.7],4.8 [4.1-5.7],4.9 [4.3-5.6],4.9 [4.3-5.5],4.9 [4.4-5.5]
Finland,0.7 [0.6-0.8],0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.7-0.9],0.8 [0.8-0.9]
France,0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8]
Gabon,12.3 [6.4-24.2],12.7 [6.7-24.4],13.1 [7.1-24.4],13.4 [7.5-24.4],13.8 [7.9-24.4]
Gambia,10.3 [8.1-13.3],10.7 [8.4-13.7],11.1 [8.7-14.3],11.5 [9.0-14.8],12.0 [9.4-15.4]
Georgia,2.4 [2.2-2.7],2.5 [2.3-2.7],2.5 [2.3-2.7],2.5 [2.4-2.7],2.6 [2.4-2.7]
Germany,0.8 [0.8-0.9],0.8 [0.8-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8]
Ghana,10.7 [8.5-13.5],11.0 [8.9-13.6],11.3 [9.3-13.8],11.6 [9.7-14.0],12.0 [10.1-14.2]
Greece,0.9 [0.8-1.0],0.9 [0.8-1.0],0.9 [0.9-1.0],0.9 [0.9-1.0],1.0 [0.9-1.0]
Grenada,3.8 [2.8-5.1],3.8 [2.9-5.0],3.8 [3.0-4.9],3.8 [3.0-4.8],3.8 [3.1-4.7]
Guatemala,3.7 [3.4-3.9],3.8 [3.6-3.9],3.8 [3.7-4.0],3.9 [3.8-4.0],4.0 [3.9-4.1]
Guinea,18.8 [14.9-24.7],19.3 [15.6-24.8],19.8 [16.3-25.0],20.3 [16.9-25.1],20.9 [17.5-25.2]
Guinea-Bissau,15.5 [8.2-26.6],16.0 [8.8-26.7],16.6 [9.4-26.9],17.2 [10.2-27.1],17.8 [11.1-27.2]
Guyana,4.9 [3.9-6.1],5.0 [4.0-6.0],5.0 [4.2-6.0],5.1 [4.4-5.9],5.1 [4.5-5.7]
Haiti,10.9 [7.4-15.3],11.2 [7.8-15.4],11.5 [8.2-15.6],11.9 [8.6-15.8],12.2 [9.1-16.1]
Honduras,4.4 [2.8-8.4],4.5 [2.9-8.3],4.6 [3.1-8.2],4.8 [3.2-8.0],4.9 [3.4-7.7]
Hungary,1.0 [0.9-1.0],1.0 [0.9-1.1],1.0 [1.0-1.1],1.1 [1.0-1.1],1.1 [1.0-1.2]
Iceland,0.5 [0.3-0.7],0.5 [0.3-0.7],0.5 [0.4-0.7],0.6 [0.4-0.8],0.6 [0.4-0.8]
India,5.5 [4.5-6.6],5.7 [4.8-6.7],6.0 [5.2-6.8],6.3 [5.6-7.0],6.7 [6.0-7.3]
Indonesia,5.1 [4.0-7.3],5.3 [4.2-7.3],5.4 [4.3-7.3],5.6 [4.5-7.3],5.8 [4.7-7.3]
Iran (Islamic Republic of),3.5 [3.2-3.7],3.6 [3.4-3.8],3.8 [3.7-3.9],4.0 [3.9-4.0],4.2 [4.1-4.3]
Iraq,3.8 [1.7-8.4],4.3 [2.0-9.2],9.3 [4.5-19.6],12.3 [6.1-25.1],11.2 [5.7-22.3]
Ireland,0.6 [0.5-0.7],0.6 [0.5-0.7],0.7 [0.6-0.8],0.7 [0.6-0.8],0.7 [0.7-0.8]
Israel,0.9 [0.8-0.9],0.9 [0.8-1.0],0.9 [0.9-1.0],1.0 [0.9-1.0],1.0 [0.9-1.0]
Italy,0.9 [0.7-1.0],0.8 [0.8-0.9],0.8 [0.8-0.9],0.8 [0.8-0.8],0.8 [0.8-0.8]
Jamaica,2.7 [2.1-3.5],2.8 [2.2-3.5],2.8 [2.2-3.6],2.9 [2.3-3.7],3.0 [2.3-3.8]
Japan,0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8]
Jordan,3.4 [3.2-3.7],3.4 [3.2-3.6],3.3 [3.2-3.5],3.3 [3.2-3.4],3.2 [3.1-3.3]
Kazakhstan,2.7 [2.7-2.8],2.8 [2.7-2.9],2.9 [2.8-3.0],3.0 [2.9-3.0],3.1 [3.0-3.1]
Kenya,9.9 [5.9-17.1],10.2 [6.2-16.9],10.4 [6.6-16.7],10.6 [6.9-16.4],10.8 [7.3-16.0]
Kiribati,9.3 [7.3-11.9],9.5 [7.5-12.2],9.8 [7.6-12.5],10.0 [7.8-12.8],10.2 [8.0-13.1]
Kuwait,1.8 [1.6-2.3],1.9 [1.7-2.2],1.9 [1.8-2.1],1.9 [1.8-2.1],2.0 [1.8-2.1]
Kyrgyzstan,3.0 [2.8-3.1],3.0 [2.9-3.2],3.1 [3.0-3.2],3.1 [3.0-3.2],3.2 [3.1-3.2]
Lao People's Democratic Republic,8.2 [5.6-11.3],8.5 [6.1-11.6],9.0 [6.5-11.9],9.5 [7.1-12.4],10.1 [7.7-12.9]
Latvia,1.4 [1.1-1.6],1.5 [1.2-1.6],1.5 [1.3-1.7],1.6 [1.4-1.8],1.7 [1.5-1.9]
Lebanon,1.9 [1.4-2.4],1.9 [1.5-2.4],2.2 [1.7-2.8],2.0 [1.5-2.5],2.2 [1.7-2.9]
Lesotho,8.6 [6.4-11.6],8.8 [6.7-11.6],9.1 [7.0-11.8],9.3 [7.3-11.9],9.5 [7.6-12.0]
